"gen","age","edu","emp","zone","count"
"femmina","(20,30]","laurea","disoccupato","centro",0.0010977617856925
"femmina","(20,30]","laurea","disoccupato","nord-est",0.00073184119046167
"femmina","(20,30]","laurea","disoccupato","nord-ovest",0.000792827956333476
"femmina","(20,30]","laurea","disoccupato","sud-isole",0.00347624565469293
"femmina","(20,30]","laurea","inattivo","centro",0.00118924193450021
"femmina","(20,30]","laurea","inattivo","nord-est",0.00125022870037202
"femmina","(20,30]","laurea","inattivo","nord-ovest",0.00118924193450021
"femmina","(20,30]","laurea","inattivo","sud-isole",0.00353723242056474
"femmina","(20,30]","laurea","occupato","centro",0.00320180520826981
"femmina","(20,30]","laurea","occupato","nord-est",0.0042080868451546
"femmina","(20,30]","laurea","occupato","nord-ovest",0.00402512654753918
"femmina","(20,30]","laurea","occupato","sud-isole",0.00445203390864182
"femmina","(20,30]","nessuna / elementari / medie","disoccupato","centro",0.000335427212294932
"femmina","(20,30]","nessuna / elementari / medie","disoccupato","nord-est",0.000274440446423126
"femmina","(20,30]","nessuna / elementari / medie","disoccupato","nord-ovest",0.000548880892846252
"femmina","(20,30]","nessuna / elementari / medie","disoccupato","sud-isole",0.00115874855156431
"femmina","(20,30]","nessuna / elementari / medie","inattivo","centro",0.00021345368055132
"femmina","(20,30]","nessuna / elementari / medie","inattivo","nord-est",0.000182960297615417
"femmina","(20,30]","nessuna / elementari / medie","inattivo","nord-ovest",0.000274440446423126
"femmina","(20,30]","nessuna / elementari / medie","inattivo","sud-isole",0.00222601695432091
"femmina","(20,30]","nessuna / elementari / medie","occupato","centro",0.000243947063487223
"femmina","(20,30]","nessuna / elementari / medie","occupato","nord-est",0.000518387509910349
"femmina","(20,30]","nessuna / elementari / medie","occupato","nord-ovest",0.000853814722205281
"femmina","(20,30]","nessuna / elementari / medie","occupato","sud-isole",0.0010062816368848
"femmina","(20,30]","superiori","disoccupato","centro",0.0010977617856925
"femmina","(20,30]","superiori","disoccupato","nord-est",0.000823321339269379
"femmina","(20,30]","superiori","disoccupato","nord-ovest",0.00112825516862841
"femmina","(20,30]","superiori","disoccupato","sud-isole",0.00481795450387266
"femmina","(20,30]","superiori","inattivo","centro",0.00353723242056474
"femmina","(20,30]","superiori","inattivo","nord-est",0.00307983167652619
"femmina","(20,30]","superiori","inattivo","nord-ovest",0.00335427212294932
"femmina","(20,30]","superiori","inattivo","sud-isole",0.00850765383911691
"femmina","(20,30]","superiori","occupato","centro",0.00332377874001342
"femmina","(20,30]","superiori","occupato","nord-est",0.00387265963285967
"femmina","(20,30]","superiori","occupato","nord-ovest",0.00378117948405196
"femmina","(20,30]","superiori","occupato","sud-isole",0.00503140818442398
"femmina","(30,40]","laurea","disoccupato","centro",0.000335427212294932
"femmina","(30,40]","laurea","disoccupato","nord-est",0.000365920595230835
"femmina","(30,40]","laurea","disoccupato","nord-ovest",0.000304933829359029
"femmina","(30,40]","laurea","disoccupato","sud-isole",0.00143318899798744
"femmina","(30,40]","laurea","inattivo","centro",0.000243947063487223
"femmina","(30,40]","laurea","inattivo","nord-est",0.000304933829359029
"femmina","(30,40]","laurea","inattivo","nord-ovest",0.000335427212294932
"femmina","(30,40]","laurea","inattivo","sud-isole",0.00121973531743612
"femmina","(30,40]","laurea","occupato","centro",0.00433006037689821
"femmina","(30,40]","laurea","occupato","nord-est",0.00463499420625724
"femmina","(30,40]","laurea","occupato","nord-ovest",0.00487894126974447
"femmina","(30,40]","laurea","occupato","sud-isole",0.00612916997011648
"femmina","(30,40]","nessuna / elementari / medie","disoccupato","centro",0.000243947063487223
"femmina","(30,40]","nessuna / elementari / medie","disoccupato","nord-est",0.000274440446423126
"femmina","(30,40]","nessuna / elementari / medie","disoccupato","nord-ovest",0.000579374275782155
"femmina","(30,40]","nessuna / elementari / medie","disoccupato","sud-isole",0.00112825516862841
"femmina","(30,40]","nessuna / elementari / medie","inattivo","centro",0.000457400744038544
"femmina","(30,40]","nessuna / elementari / medie","inattivo","nord-est",0.000579374275782155
"femmina","(30,40]","nessuna / elementari / medie","inattivo","nord-ovest",0.000823321339269379
"femmina","(30,40]","nessuna / elementari / medie","inattivo","sud-isole",0.0041775934622187
"femmina","(30,40]","nessuna / elementari / medie","occupato","centro",0.000853814722205281
"femmina","(30,40]","nessuna / elementari / medie","occupato","nord-est",0.0010367750198207
"femmina","(30,40]","nessuna / elementari / medie","occupato","nord-ovest",0.00143318899798744
"femmina","(30,40]","nessuna / elementari / medie","occupato","sud-isole",0.00125022870037202
"femmina","(30,40]","superiori","disoccupato","centro",0.000823321339269379
"femmina","(30,40]","superiori","disoccupato","nord-est",0.000701347807525767
"femmina","(30,40]","superiori","disoccupato","nord-ovest",0.00073184119046167
"femmina","(30,40]","superiori","disoccupato","sud-isole",0.00228700372019272
"femmina","(30,40]","superiori","inattivo","centro",0.00094529487101299
"femmina","(30,40]","superiori","inattivo","nord-est",0.000792827956333476
"femmina","(30,40]","superiori","inattivo","nord-ovest",0.00140269561505153
"femmina","(30,40]","superiori","inattivo","sud-isole",0.0041471000792828
"femmina","(30,40]","superiori","occupato","centro",0.00375068610111606
"femmina","(30,40]","superiori","occupato","nord-est",0.00554979569433433
"femmina","(30,40]","superiori","occupato","nord-ovest",0.00500091480148808
"femmina","(30,40]","superiori","occupato","sud-isole",0.00573275599194975
"femmina","(40,50]","laurea","disoccupato","centro",0.000396413978166738
"femmina","(40,50]","laurea","disoccupato","nord-est",0.00021345368055132
"femmina","(40,50]","laurea","disoccupato","nord-ovest",0.000243947063487223
"femmina","(40,50]","laurea","disoccupato","sud-isole",0.000487894126974447
"femmina","(40,50]","laurea","inattivo","centro",0.000365920595230835
"femmina","(40,50]","laurea","inattivo","nord-est",0.000182960297615417
"femmina","(40,50]","laurea","inattivo","nord-ovest",0.00021345368055132
"femmina","(40,50]","laurea","inattivo","sud-isole",0.000823321339269379
"femmina","(40,50]","laurea","occupato","centro",0.00439104714277002
"femmina","(40,50]","laurea","occupato","nord-est",0.00402512654753918
"femmina","(40,50]","laurea","occupato","nord-ovest",0.00399463316460328
"femmina","(40,50]","laurea","occupato","sud-isole",0.00609867658718058
"femmina","(40,50]","nessuna / elementari / medie","disoccupato","centro",0.000396413978166738
"femmina","(40,50]","nessuna / elementari / medie","disoccupato","nord-est",0.000365920595230835
"femmina","(40,50]","nessuna / elementari / medie","disoccupato","nord-ovest",0.000640361041653961
"femmina","(40,50]","nessuna / elementari / medie","disoccupato","sud-isole",0.00167713606147466
"femmina","(40,50]","nessuna / elementari / medie","inattivo","centro",0.00201256327376959
"femmina","(40,50]","nessuna / elementari / medie","inattivo","nord-est",0.00152466914679515
"femmina","(40,50]","nessuna / elementari / medie","inattivo","nord-ovest",0.00219552357138501
"femmina","(40,50]","nessuna / elementari / medie","inattivo","sud-isole",0.00963590900774532
"femmina","(40,50]","nessuna / elementari / medie","occupato","centro",0.00216503018844911
"femmina","(40,50]","nessuna / elementari / medie","occupato","nord-est",0.00338476550588522
"femmina","(40,50]","nessuna / elementari / medie","occupato","nord-ovest",0.00399463316460328
"femmina","(40,50]","nessuna / elementari / medie","occupato","sud-isole",0.00375068610111606
"femmina","(40,50]","superiori","disoccupato","centro",0.000884308105141184
"femmina","(40,50]","superiori","disoccupato","nord-est",0.000548880892846252
"femmina","(40,50]","superiori","disoccupato","nord-ovest",0.00073184119046167
"femmina","(40,50]","superiori","disoccupato","sud-isole",0.00170762944441056
"femmina","(40,50]","superiori","inattivo","centro",0.00161614929560285
"femmina","(40,50]","superiori","inattivo","nord-est",0.00155516252973105
"femmina","(40,50]","superiori","inattivo","nord-ovest",0.00173812282734647
"femmina","(40,50]","superiori","inattivo","sud-isole",0.0052753552479112
"femmina","(40,50]","superiori","occupato","centro",0.00661706409709093
"femmina","(40,50]","superiori","occupato","nord-est",0.0083551869244374
"femmina","(40,50]","superiori","occupato","nord-ovest",0.00780630603159114
"femmina","(40,50]","superiori","occupato","sud-isole",0.00698298469232177
"femmina","(50,65]","laurea","disoccupato","centro",9.14801488077087e-05
"femmina","(50,65]","laurea","disoccupato","nord-est",0.000152466914679515
"femmina","(50,65]","laurea","disoccupato","nord-ovest",9.14801488077087e-05
"femmina","(50,65]","laurea","disoccupato","sud-isole",9.14801488077087e-05
"femmina","(50,65]","laurea","inattivo","centro",0.000487894126974447
"femmina","(50,65]","laurea","inattivo","nord-est",0.000548880892846252
"femmina","(50,65]","laurea","inattivo","nord-ovest",0.000701347807525767
"femmina","(50,65]","laurea","inattivo","sud-isole",0.00143318899798744
"femmina","(50,65]","laurea","occupato","centro",0.00280539123010307
"femmina","(50,65]","laurea","occupato","nord-est",0.00179910959321827
"femmina","(50,65]","laurea","occupato","nord-ovest",0.00204305665670549
"femmina","(50,65]","laurea","occupato","sud-isole",0.00378117948405196
"femmina","(50,65]","nessuna / elementari / medie","disoccupato","centro",0.000457400744038544
"femmina","(50,65]","nessuna / elementari / medie","disoccupato","nord-est",0.000640361041653961
"femmina","(50,65]","nessuna / elementari / medie","disoccupato","nord-ovest",0.000518387509910349
"femmina","(50,65]","nessuna / elementari / medie","disoccupato","sud-isole",0.0010367750198207
"femmina","(50,65]","nessuna / elementari / medie","inattivo","centro",0.00439104714277002
"femmina","(50,65]","nessuna / elementari / medie","inattivo","nord-est",0.00493992803561627
"femmina","(50,65]","nessuna / elementari / medie","inattivo","nord-ovest",0.00463499420625724
"femmina","(50,65]","nessuna / elementari / medie","inattivo","sud-isole",0.0155211319143746
"femmina","(50,65]","nessuna / elementari / medie","occupato","centro",0.00204305665670549
"femmina","(50,65]","nessuna / elementari / medie","occupato","nord-est",0.00274440446423126
"femmina","(50,65]","nessuna / elementari / medie","occupato","nord-ovest",0.00384216624992377
"femmina","(50,65]","nessuna / elementari / medie","occupato","sud-isole",0.00356772580350064
"femmina","(50,65]","superiori","disoccupato","centro",0.000579374275782155
"femmina","(50,65]","superiori","disoccupato","nord-est",0.000457400744038544
"femmina","(50,65]","superiori","disoccupato","nord-ovest",0.000518387509910349
"femmina","(50,65]","superiori","disoccupato","sud-isole",0.000670854424589864
"femmina","(50,65]","superiori","inattivo","centro",0.00307983167652619
"femmina","(50,65]","superiori","inattivo","nord-est",0.00347624565469293
"femmina","(50,65]","superiori","inattivo","nord-ovest",0.00365920595230835
"femmina","(50,65]","superiori","inattivo","sud-isole",0.00637311703360371
"femmina","(50,65]","superiori","occupato","centro",0.0041775934622187
"femmina","(50,65]","superiori","occupato","nord-est",0.00561078246020614
"femmina","(50,65]","superiori","occupato","nord-ovest",0.00512288833323169
"femmina","(50,65]","superiori","occupato","sud-isole",0.00573275599194975
"femmina","(65,95]","laurea","disoccupato","nord-ovest",3.04933829359029e-05
"femmina","(65,95]","laurea","disoccupato","sud-isole",9.14801488077087e-05
"femmina","(65,95]","laurea","inattivo","centro",0.00246996401780814
"femmina","(65,95]","laurea","inattivo","nord-est",0.00192108312496188
"femmina","(65,95]","laurea","inattivo","nord-ovest",0.00219552357138501
"femmina","(65,95]","laurea","inattivo","sud-isole",0.00426907361102641
"femmina","(65,95]","laurea","occupato","centro",0.00021345368055132
"femmina","(65,95]","laurea","occupato","nord-est",0.000121973531743612
"femmina","(65,95]","laurea","occupato","nord-ovest",0.00021345368055132
"femmina","(65,95]","laurea","occupato","sud-isole",0.000579374275782155
"femmina","(65,95]","nessuna / elementari / medie","disoccupato","centro",0.000121973531743612
"femmina","(65,95]","nessuna / elementari / medie","disoccupato","nord-ovest",0.000304933829359029
"femmina","(65,95]","nessuna / elementari / medie","disoccupato","sud-isole",0.000670854424589864
"femmina","(65,95]","nessuna / elementari / medie","inattivo","centro",0.0237543453070684
"femmina","(65,95]","nessuna / elementari / medie","inattivo","nord-est",0.0268341769835946
"femmina","(65,95]","nessuna / elementari / medie","inattivo","nord-ovest",0.0294871012990181
"femmina","(65,95]","nessuna / elementari / medie","inattivo","sud-isole",0.0529670061596634
"femmina","(65,95]","nessuna / elementari / medie","occupato","centro",0.000304933829359029
"femmina","(65,95]","nessuna / elementari / medie","occupato","nord-est",0.000182960297615417
"femmina","(65,95]","nessuna / elementari / medie","occupato","nord-ovest",0.000396413978166738
"femmina","(65,95]","nessuna / elementari / medie","occupato","sud-isole",0.000762334573397573
"femmina","(65,95]","superiori","disoccupato","centro",3.04933829359029e-05
"femmina","(65,95]","superiori","disoccupato","nord-ovest",0.000182960297615417
"femmina","(65,95]","superiori","disoccupato","sud-isole",0.000304933829359029
"femmina","(65,95]","superiori","inattivo","centro",0.00579374275782155
"femmina","(65,95]","superiori","inattivo","nord-est",0.00680002439470635
"femmina","(65,95]","superiori","inattivo","nord-ovest",0.00805025309507837
"femmina","(65,95]","superiori","inattivo","sud-isole",0.00917850826370678
"femmina","(65,95]","superiori","occupato","centro",0.000243947063487223
"femmina","(65,95]","superiori","occupato","nord-est",0.00021345368055132
"femmina","(65,95]","superiori","occupato","nord-ovest",0.000121973531743612
"femmina","(65,95]","superiori","occupato","sud-isole",0.000548880892846252
"maschio","(20,30]","laurea","disoccupato","centro",0.000640361041653961
"maschio","(20,30]","laurea","disoccupato","nord-est",0.000335427212294932
"maschio","(20,30]","laurea","disoccupato","nord-ovest",0.000518387509910349
"maschio","(20,30]","laurea","disoccupato","sud-isole",0.00170762944441056
"maschio","(20,30]","laurea","inattivo","centro",0.000609867658718058
"maschio","(20,30]","laurea","inattivo","nord-est",0.0010062816368848
"maschio","(20,30]","laurea","inattivo","nord-ovest",0.000762334573397573
"maschio","(20,30]","laurea","inattivo","sud-isole",0.00176861621028237
"maschio","(20,30]","laurea","occupato","centro",0.00201256327376959
"maschio","(20,30]","laurea","occupato","nord-est",0.00250045740074404
"maschio","(20,30]","laurea","occupato","nord-ovest",0.00350673903762883
"maschio","(20,30]","laurea","occupato","sud-isole",0.00338476550588522
"maschio","(20,30]","nessuna / elementari / medie","disoccupato","centro",0.000243947063487223
"maschio","(20,30]","nessuna / elementari / medie","disoccupato","nord-est",0.000335427212294932
"maschio","(20,30]","nessuna / elementari / medie","disoccupato","nord-ovest",0.000762334573397573
"maschio","(20,30]","nessuna / elementari / medie","disoccupato","sud-isole",0.00268341769835946
"maschio","(20,30]","nessuna / elementari / medie","inattivo","centro",6.09867658718058e-05
"maschio","(20,30]","nessuna / elementari / medie","inattivo","nord-est",0.000121973531743612
"maschio","(20,30]","nessuna / elementari / medie","inattivo","nord-ovest",0.00021345368055132
"maschio","(20,30]","nessuna / elementari / medie","inattivo","sud-isole",0.000396413978166738
"maschio","(20,30]","nessuna / elementari / medie","occupato","centro",0.000975788253948893
"maschio","(20,30]","nessuna / elementari / medie","occupato","nord-est",0.00155516252973105
"maschio","(20,30]","nessuna / elementari / medie","occupato","nord-ovest",0.00176861621028237
"maschio","(20,30]","nessuna / elementari / medie","occupato","sud-isole",0.00301884491065439
"maschio","(20,30]","superiori","disoccupato","centro",0.00158565591266695
"maschio","(20,30]","superiori","disoccupato","nord-est",0.00143318899798744
"maschio","(20,30]","superiori","disoccupato","nord-ovest",0.00128072208330792
"maschio","(20,30]","superiori","disoccupato","sud-isole",0.00713545160700128
"maschio","(20,30]","superiori","inattivo","centro",0.00231749710312862
"maschio","(20,30]","superiori","inattivo","nord-est",0.00204305665670549
"maschio","(20,30]","superiori","inattivo","nord-ovest",0.0021040434225773
"maschio","(20,30]","superiori","inattivo","sud-isole",0.00554979569433433
"maschio","(20,30]","superiori","occupato","centro",0.00490943465268037
"maschio","(20,30]","superiori","occupato","nord-est",0.00805025309507837
"maschio","(20,30]","superiori","occupato","nord-ovest",0.00646459718241142
"maschio","(20,30]","superiori","occupato","sud-isole",0.00997133622004025
"maschio","(30,40]","laurea","disoccupato","centro",0.000243947063487223
"maschio","(30,40]","laurea","disoccupato","nord-est",0.000121973531743612
"maschio","(30,40]","laurea","disoccupato","nord-ovest",0.000121973531743612
"maschio","(30,40]","laurea","disoccupato","sud-isole",0.000579374275782155
"maschio","(30,40]","laurea","inattivo","centro",6.09867658718058e-05
"maschio","(30,40]","laurea","inattivo","sud-isole",0.000121973531743612
"maschio","(30,40]","laurea","occupato","centro",0.00329328535707751
"maschio","(30,40]","laurea","occupato","nord-est",0.00320180520826981
"maschio","(30,40]","laurea","occupato","nord-ovest",0.00359821918643654
"maschio","(30,40]","laurea","occupato","sud-isole",0.00515338171616759
"maschio","(30,40]","nessuna / elementari / medie","disoccupato","centro",0.000304933829359029
"maschio","(30,40]","nessuna / elementari / medie","disoccupato","nord-est",0.00021345368055132
"maschio","(30,40]","nessuna / elementari / medie","disoccupato","nord-ovest",0.000182960297615417
"maschio","(30,40]","nessuna / elementari / medie","disoccupato","sud-isole",0.00304933829359029
"maschio","(30,40]","nessuna / elementari / medie","inattivo","centro",9.14801488077087e-05
"maschio","(30,40]","nessuna / elementari / medie","inattivo","nord-est",9.14801488077087e-05
"maschio","(30,40]","nessuna / elementari / medie","inattivo","nord-ovest",0.000121973531743612
"maschio","(30,40]","nessuna / elementari / medie","inattivo","sud-isole",0.000304933829359029
"maschio","(30,40]","nessuna / elementari / medie","occupato","centro",0.00222601695432091
"maschio","(30,40]","nessuna / elementari / medie","occupato","nord-est",0.00198206989083369
"maschio","(30,40]","nessuna / elementari / medie","occupato","nord-ovest",0.00332377874001342
"maschio","(30,40]","nessuna / elementari / medie","occupato","sud-isole",0.00554979569433433
"maschio","(30,40]","superiori","disoccupato","centro",0.000609867658718058
"maschio","(30,40]","superiori","disoccupato","nord-est",0.000457400744038544
"maschio","(30,40]","superiori","disoccupato","nord-ovest",0.000304933829359029
"maschio","(30,40]","superiori","disoccupato","sud-isole",0.0021040434225773
"maschio","(30,40]","superiori","inattivo","centro",6.09867658718058e-05
"maschio","(30,40]","superiori","inattivo","nord-est",0.000121973531743612
"maschio","(30,40]","superiori","inattivo","nord-ovest",3.04933829359029e-05
"maschio","(30,40]","superiori","inattivo","sud-isole",0.000243947063487223
"maschio","(30,40]","superiori","occupato","centro",0.00615966335305239
"maschio","(30,40]","superiori","occupato","nord-est",0.0073489052875526
"maschio","(30,40]","superiori","occupato","nord-ovest",0.00664755748002683
"maschio","(30,40]","superiori","occupato","sud-isole",0.0102762700493993
"maschio","(40,50]","laurea","disoccupato","centro",0.000121973531743612
"maschio","(40,50]","laurea","disoccupato","nord-est",9.14801488077087e-05
"maschio","(40,50]","laurea","disoccupato","nord-ovest",0.000335427212294932
"maschio","(40,50]","laurea","disoccupato","sud-isole",0.000426907361102641
"maschio","(40,50]","laurea","inattivo","centro",6.09867658718058e-05
"maschio","(40,50]","laurea","inattivo","nord-est",3.04933829359029e-05
"maschio","(40,50]","laurea","inattivo","nord-ovest",3.04933829359029e-05
"maschio","(40,50]","laurea","occupato","centro",0.00304933829359029
"maschio","(40,50]","laurea","occupato","nord-est",0.00335427212294932
"maschio","(40,50]","laurea","occupato","nord-ovest",0.00298835152771848
"maschio","(40,50]","laurea","occupato","sud-isole",0.00393364639873148
"maschio","(40,50]","nessuna / elementari / medie","disoccupato","centro",0.000792827956333476
"maschio","(40,50]","nessuna / elementari / medie","disoccupato","nord-est",0.000548880892846252
"maschio","(40,50]","nessuna / elementari / medie","disoccupato","nord-ovest",0.00073184119046167
"maschio","(40,50]","nessuna / elementari / medie","disoccupato","sud-isole",0.00429956699396231
"maschio","(40,50]","nessuna / elementari / medie","inattivo","centro",0.000365920595230835
"maschio","(40,50]","nessuna / elementari / medie","inattivo","nord-est",0.000365920595230835
"maschio","(40,50]","nessuna / elementari / medie","inattivo","nord-ovest",0.000365920595230835
"maschio","(40,50]","nessuna / elementari / medie","inattivo","sud-isole",0.0010977617856925
"maschio","(40,50]","nessuna / elementari / medie","occupato","centro",0.00484844788680856
"maschio","(40,50]","nessuna / elementari / medie","occupato","nord-est",0.00588522290662926
"maschio","(40,50]","nessuna / elementari / medie","occupato","nord-ovest",0.00744038543636031
"maschio","(40,50]","nessuna / elementari / medie","occupato","sud-isole",0.00957492224187351
"maschio","(40,50]","superiori","disoccupato","centro",0.000548880892846252
"maschio","(40,50]","superiori","disoccupato","nord-est",0.000640361041653961
"maschio","(40,50]","superiori","disoccupato","nord-ovest",0.00073184119046167
"maschio","(40,50]","superiori","disoccupato","sud-isole",0.00179910959321827
"maschio","(40,50]","superiori","inattivo","centro",0.000243947063487223
"maschio","(40,50]","superiori","inattivo","nord-est",0.000121973531743612
"maschio","(40,50]","superiori","inattivo","nord-ovest",0.000152466914679515
"maschio","(40,50]","superiori","inattivo","sud-isole",0.000243947063487223
"maschio","(40,50]","superiori","occupato","centro",0.00667805086296274
"maschio","(40,50]","superiori","occupato","nord-est",0.00923949502957858
"maschio","(40,50]","superiori","occupato","nord-ovest",0.00820272000975788
"maschio","(40,50]","superiori","occupato","sud-isole",0.0117094590473867
"maschio","(50,65]","laurea","disoccupato","centro",3.04933829359029e-05
"maschio","(50,65]","laurea","disoccupato","nord-est",0.000152466914679515
"maschio","(50,65]","laurea","disoccupato","nord-ovest",0.000182960297615417
"maschio","(50,65]","laurea","disoccupato","sud-isole",0.000152466914679515
"maschio","(50,65]","laurea","inattivo","centro",0.00021345368055132
"maschio","(50,65]","laurea","inattivo","nord-est",0.00021345368055132
"maschio","(50,65]","laurea","inattivo","nord-ovest",9.14801488077087e-05
"maschio","(50,65]","laurea","inattivo","sud-isole",0.000457400744038544
"maschio","(50,65]","laurea","occupato","centro",0.00265292431542355
"maschio","(50,65]","laurea","occupato","nord-est",0.00228700372019272
"maschio","(50,65]","laurea","occupato","nord-ovest",0.00274440446423126
"maschio","(50,65]","laurea","occupato","sud-isole",0.00402512654753918
"maschio","(50,65]","nessuna / elementari / medie","disoccupato","centro",0.0010062816368848
"maschio","(50,65]","nessuna / elementari / medie","disoccupato","nord-est",0.000426907361102641
"maschio","(50,65]","nessuna / elementari / medie","disoccupato","nord-ovest",0.000914801488077087
"maschio","(50,65]","nessuna / elementari / medie","disoccupato","sud-isole",0.00365920595230835
"maschio","(50,65]","nessuna / elementari / medie","inattivo","centro",0.0020735500396414
"maschio","(50,65]","nessuna / elementari / medie","inattivo","nord-est",0.00259193754955175
"maschio","(50,65]","nessuna / elementari / medie","inattivo","nord-ovest",0.00384216624992377
"maschio","(50,65]","nessuna / elementari / medie","inattivo","sud-isole",0.00381167286698786
"maschio","(50,65]","nessuna / elementari / medie","occupato","centro",0.00393364639873148
"maschio","(50,65]","nessuna / elementari / medie","occupato","nord-est",0.00457400744038544
"maschio","(50,65]","nessuna / elementari / medie","occupato","nord-ovest",0.00487894126974447
"maschio","(50,65]","nessuna / elementari / medie","occupato","sud-isole",0.00853814722205281
"maschio","(50,65]","superiori","disoccupato","centro",0.000884308105141184
"maschio","(50,65]","superiori","disoccupato","nord-est",0.000518387509910349
"maschio","(50,65]","superiori","disoccupato","nord-ovest",0.000823321339269379
"maschio","(50,65]","superiori","disoccupato","sud-isole",0.00167713606147466
"maschio","(50,65]","superiori","inattivo","centro",0.00137220223211563
"maschio","(50,65]","superiori","inattivo","nord-est",0.00201256327376959
"maschio","(50,65]","superiori","inattivo","nord-ovest",0.00167713606147466
"maschio","(50,65]","superiori","inattivo","sud-isole",0.00231749710312862
"maschio","(50,65]","superiori","occupato","centro",0.00487894126974447
"maschio","(50,65]","superiori","occupato","nord-est",0.00594620967250107
"maschio","(50,65]","superiori","occupato","nord-ovest",0.00515338171616759
"maschio","(50,65]","superiori","occupato","sud-isole",0.00817222662682198
"maschio","(65,95]","laurea","disoccupato","centro",0.000121973531743612
"maschio","(65,95]","laurea","disoccupato","nord-est",3.04933829359029e-05
"maschio","(65,95]","laurea","disoccupato","nord-ovest",9.14801488077087e-05
"maschio","(65,95]","laurea","disoccupato","sud-isole",0.000121973531743612
"maschio","(65,95]","laurea","inattivo","centro",0.00265292431542355
"maschio","(65,95]","laurea","inattivo","nord-est",0.00262243093248765
"maschio","(65,95]","laurea","inattivo","nord-ovest",0.00298835152771848
"maschio","(65,95]","laurea","inattivo","sud-isole",0.00399463316460328
"maschio","(65,95]","laurea","occupato","centro",0.000823321339269379
"maschio","(65,95]","laurea","occupato","nord-est",0.000609867658718058
"maschio","(65,95]","laurea","occupato","nord-ovest",0.000487894126974447
"maschio","(65,95]","laurea","occupato","sud-isole",0.000975788253948893
"maschio","(65,95]","nessuna / elementari / medie","disoccupato","centro",0.000243947063487223
"maschio","(65,95]","nessuna / elementari / medie","disoccupato","nord-est",0.000152466914679515
"maschio","(65,95]","nessuna / elementari / medie","disoccupato","nord-ovest",0.000365920595230835
"maschio","(65,95]","nessuna / elementari / medie","disoccupato","sud-isole",0.00131121546624383
"maschio","(65,95]","nessuna / elementari / medie","inattivo","centro",0.0155211319143746
"maschio","(65,95]","nessuna / elementari / medie","inattivo","nord-est",0.0175641885710801
"maschio","(65,95]","nessuna / elementari / medie","inattivo","nord-ovest",0.0186009635909008
"maschio","(65,95]","nessuna / elementari / medie","inattivo","sud-isole",0.0378117948405196
"maschio","(65,95]","nessuna / elementari / medie","occupato","centro",0.000701347807525767
"maschio","(65,95]","nessuna / elementari / medie","occupato","nord-est",0.000823321339269379
"maschio","(65,95]","nessuna / elementari / medie","occupato","nord-ovest",0.00094529487101299
"maschio","(65,95]","nessuna / elementari / medie","occupato","sud-isole",0.00112825516862841
"maschio","(65,95]","superiori","disoccupato","centro",0.000304933829359029
"maschio","(65,95]","superiori","disoccupato","nord-est",9.14801488077087e-05
"maschio","(65,95]","superiori","disoccupato","nord-ovest",0.000121973531743612
"maschio","(65,95]","superiori","disoccupato","sud-isole",0.000579374275782155
"maschio","(65,95]","superiori","inattivo","centro",0.00615966335305239
"maschio","(65,95]","superiori","inattivo","nord-est",0.0073489052875526
"maschio","(65,95]","superiori","inattivo","nord-ovest",0.00789778618039885
"maschio","(65,95]","superiori","inattivo","sud-isole",0.00896505458315545
"maschio","(65,95]","superiori","occupato","centro",0.000335427212294932
"maschio","(65,95]","superiori","occupato","nord-est",0.000884308105141184
"maschio","(65,95]","superiori","occupato","nord-ovest",0.00073184119046167
"maschio","(65,95]","superiori","occupato","sud-isole",0.00115874855156431
"femmina","(65,95]","laurea","disoccupato","centro",0
"femmina","(65,95]","laurea","disoccupato","nord-est",0
"femmina","(65,95]","nessuna / elementari / medie","disoccupato","nord-est",0
"femmina","(65,95]","superiori","disoccupato","nord-est",0
"maschio","(30,40]","laurea","inattivo","nord-est",0
"maschio","(30,40]","laurea","inattivo","nord-ovest",0
"maschio","(40,50]","laurea","inattivo","sud-isole",0
